gene	case1	case2	case3	case4	case5	case6	case7	control1	control2	control3	control4	control5	control6	control7
Cutc	2	1	3	5	2	3	3	3	1	4	4	5	3	3
Cux1	5	12	13	1	15	4	5	5	8	8	4	2	8	3
Cux2	29	16	19	25	16	17	18	4	6	6	3	8	7	7
Cuzd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cwc15	12	7	6	12	5	12	8	5	7	8	3	10	3	4
Cwc22	491	220	8	457	371	279	242	266	152	1	346	385	172	152
Cwc25	16	30	11	18	12	10	12	7	16	18	30	10	11	6
Cwc27	0	0	1	2	2	4	3	2	2	2	1	1	1	2
Cwf19l1	2	3	5	2	2	1	2	3	2	3	1	4	2	1
Cwf19l2	2	0	2	6	3	1	5	0	5	0	5	2	4	0
Cwh43	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cx3cl1	10	5	2	4	1	8	6	8	21	20	14	30	16	24
Cx3cr1	1	3	0	0	0	1	0	3	5	4	5	0	3	1
Cxadr	12	4	6	5	4	3	3	10	24	17	28	8	6	14
Cxcl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl10	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cxcl11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl12	0	3	5	3	0	1	1	0	2	4	6	2	1	1
Cxcl13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl14	9	8	7	2	6	8	14	10	13	17	16	15	22	9
Cxcl15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl16	15	11	10	8	16	16	11	6	14	16	17	14	22	25
Cxcl17	0	1	4	1	0	2	0	0	1	1	1	2	0	1
Cxcl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl5	0	0	0	0	1	0	0	6	1	2	4	1	6	1
Cxcl9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcr2	25	28	26	17	10	22	26	15	21	17	17	19	20	14
Cxcr3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcr5	58	53	67	47	53	63	68	37	52	54	41	44	45	44
Cxcr6	2	5	1	1	2	0	1	2	2	2	0	0	0	2
Cxcr7	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Cxx1a	2	1	0	2	1	2	1	1	1	2	4	0	1	2
Cxx1b	0	1	1	0	0	0	1	0	2	0	2	0	0	1
Cxx1c	0	1	4	4	2	0	1	3	4	6	12	1	4	2
Cxxc1	16	7	6	7	6	12	4	4	3	11	6	3	4	6
Cxxc4	20	14	13	23	21	13	16	6	21	7	11	6	11	8
Cxxc5	21	25	28	35	17	26	17	8	7	15	10	9	6	6
Cyb5	0	1	0	1	3	2	7	0	6	1	1	0	5	1
Cyb561	0	0	0	1	1	1	0	0	3	1	2	0	1	1
Cyb561d1	1	1	7	3	3	6	3	0	2	2	4	3	7	1
Cyb561d2	1	2	3	3	1	1	3	1	0	1	1	4	4	1
Cyb5b	2	2	5	7	6	4	5	4	10	7	2	5	6	1
Cyb5d1	3	2	2	0	2	1	2	0	0	3	1	2	0	1
Cyb5d2	0	1	1	0	2	1	3	1	1	2	0	2	2	1
Cyb5r1	0	1	0	0	0	2	0	0	0	0	0	1	0	0
Cyb5r2	3	0	1	2	4	4	4	2	2	3	3	3	1	2
Cyb5r3	35	56	36	37	27	43	50	43	43	32	52	19	35	45
Cyb5r4	8	2	4	8	7	2	11	0	6	3	3	6	5	5
Cyb5rl	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Cyba	2	2	1	1	0	1	0	1	0	0	1	1	0	0
Cybasc3	6	11	7	7	7	6	8	12	6	12	8	7	5	10
Cybb	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Cybrd1	104	109	115	81	49	58	54	73	96	80	91	19	45	29
Cyc1	6	7	12	13	11	16	20	6	3	6	9	6	9	5
Cycs	19	21	15	21	17	21	16	3	9	12	14	7	12	10
Cyct	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyfip1	890	1189	1107	1014	855	1087	1144	999	1094	945	1269	873	1086	946
Cyfip2	41	31	32	42	30	26	36	22	48	39	50	30	43	39
Cygb	17	35	29	34	27	40	36	11	22	18	18	20	20	18
Cyhr1	102	119	123	113	66	99	107	99	112	97	125	91	102	86
Cylc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cylc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyld	9	8	22	16	16	22	15	14	28	29	48	12	22	25
Cym	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp11a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp11b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp11b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp17a1	0	0	0	0	0	0	0	0	1	1	0	1	2	0
Cyp19a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp1a1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cyp1a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp1b1	1	3	1	2	0	1	4	0	1	1	0	1	3	0
Cyp20a1	2	2	0	0	1	2	0	0	3	2	2	1	1	2
Cyp21a1	0	0	0	0	1	0	1	0	0	0	0	0	1	0
Cyp24a1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Cyp26a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp26b1	0	0	0	2	2	1	1	0	0	0	0	1	1	0
Cyp26c1	0	0	0	0	0	0	0	1	2	0	0	0	3	2
Cyp27a1	2	1	1	1	2	2	1	0	0	0	0	0	0	0
Cyp27b1	2	2	4	1	2	4	5	1	1	3	0	0	3	1
Cyp2a12	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cyp2a22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2a5	0	0	0	0	0	0	0	2	0	0	2	1	1	2
Cyp2ab1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2b10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2b13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2b19	0	2	1	0	3	1	0	5	11	3	6	14	14	3
Cyp2b23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2b9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c44	0	0	0	0	0	0	0	4	6	10	9	3	10	5
Cyp2c50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c53-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d22	3	2	2	6	0	2	2	0	1	0	2	0	4	0
Cyp2d26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d37-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2e1	18	16	7	12	1	6	18	8	12	8	21	14	13	8
Cyp2f2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cyp2g1	0	0	0	0	0	0	0	1	2	1	4	3	5	5
Cyp2j11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2j12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2j13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2j5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2j6	1	1	0	0	0	0	0	1	0	0	1	0	1	0
Cyp2j8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2j9	1	0	0	0	1	0	3	0	0	1	2	1	0	0
Cyp2r1	1	3	3	1	3	1	4	0	0	0	0	2	5	0
Cyp2s1	2	1	0	2	0	0	2	1	3	1	0	1	0	0
Cyp2t4	116	154	173	108	137	132	179	45	84	74	72	66	94	98
Cyp2u1	10	11	14	16	12	20	21	8	5	5	4	3	3	2
Cyp2w1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cyp39a1	0	0	0	0	0	1	0	2	0	0	0	1	1	0
Cyp3a11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a13	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cyp3a16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a41a	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a41b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp46a1	0	0	1	1	2	2	1	2	7	7	9	3	4	3
Cyp4a10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a12a	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a12b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a29-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a30b-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4f13	0	0	0	1	0	1	1	0	1	0	0	1	0	0
Cyp4f14	0	2	0	0	0	0	0	0	1	0	0	2	0	0
Cyp4f15	1	0	0	0	0	0	1	0	0	0	0	0	0	1
Cyp4f16	3	1	4	4	2	3	2	3	1	0	1	1	1	0
Cyp4f17	0	1	1	1	0	0	0	0	2	0	0	1	0	0
Cyp4f18	0	1	0	1	0	0	0	0	0	1	1	0	0	0
Cyp4f39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4f40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4f41-ps	1	4	0	0	0	0	0	0	1	3	1	0	1	2
Cyp4v3	0	0	1	1	1	1	2	0	0	0	1	1	1	1
Cyp4x1	1	10	6	8	5	2	1	6	7	3	5	1	2	1
Cyp51	2	7	8	2	5	6	6	2	2	2	4	5	3	6
Cyp7a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp7b1	1	0	1	0	0	0	0	1	0	0	0	0	0	0
Cyp8b1	0	1	1	0	0	1	1	10	16	12	14	11	20	10
Cypt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cypt12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cypt14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cypt15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cypt2-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cypt3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cypt4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyr61	1	2	2	0	0	2	0	2	3	6	4	3	4	2
Cys1	3	10	3	2	3	2	4	3	5	3	4	5	4	1
Cysltr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cysltr2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cyth1	12	3	9	12	5	11	4	1	5	5	2	5	6	7
Cyth2	61	66	56	56	45	68	74	29	29	39	32	32	38	26
Cyth3	3	1	4	3	0	5	6	0	1	0	0	1	1	1
Cyth4	0	0	2	0	0	1	2	1	5	5	4	2	3	4
Cytip	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyyr1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
D030016E14Rik	1	0	1	1	1	1	0	1	1	1	4	1	1	0
D030018L15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D030024E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D030025E07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D030025P21Rik	38	53	42	43	30	35	32	3	6	0	0	0	0	1
D030028A08Rik	13	12	7	7	10	10	6	14	8	11	10	15	30	9
D030029J20Rik	0	1	0	0	0	0	0	0	1	2	2	0	1	0
D030040B21Rik	0	0	0	0	0	0	2	0	0	0	0	1	0	0
D030045P18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D030046N08Rik	22	17	28	21	24	16	16	11	26	24	29	11	19	4
D030047H15Rik	1773	1709	1835	1727	1454	1603	2001	1547	1929	1926	2140	1390	2643	1605
D030056L22Rik	16	15	13	15	17	16	17	12	13	12	9	19	16	14
D030068K23Rik	0	1	0	0	0	2	0	0	1	1	0	0	1	1
D0H4S114	83	53	76	97	54	67	65	3	0	6	6	2	6	2
D10Bwg1379e	17	12	11	10	13	8	17	18	23	17	31	6	8	5
D10Jhu81e	2	5	1	4	2	2	5	3	2	3	2	0	0	1
D10Wsu102e	3	0	0	1	1	1	0	0	2	0	0	0	0	0
D10Wsu52e	8	6	1	5	7	7	4	1	3	1	7	4	3	4
D11Wsu47e	6	1	3	3	6	5	3	2	0	1	0	0	2	1
D11Wsu99e	675	778	721	662	524	684	709	416	516	581	532	530	501	451
D130009I18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D130012P04Rik	0	0	1	0	0	1	1	0	1	0	0	0	2	0
D130017N08Rik	0	0	0	2	0	0	1	0	1	1	0	1	1	0
D130020L05Rik	405	353	382	412	359	331	420	184	308	234	295	189	326	246
D130040H23Rik	0	0	0	0	1	0	0	0	0	0	0	0	1	1
D130043K22Rik	9	5	8	8	6	3	6	3	7	5	7	3	4	3
D130046C19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D130050E23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D130052B06Rik	0	0	0	1	0	0	2	0	0	0	0	0	0	0
D130062J21Rik	0	0	1	0	1	0	0	0	0	0	0	0	0	0
D130079A08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D13Ertd608e	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D13Mgi7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D14Abb1e	455	461	431	473	407	446	439	293	331	349	415	255	428	274
D14Ertd449e	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D14Ertd668e	1	1	2	1	0	0	1	1	0	1	0	0	1	0
D15Ertd621e	0	2	7	3	1	1	2	1	4	7	3	0	1	0
D16Ertd472e	1	0	1	3	0	1	1	0	2	0	0	0	0	0
D16Ertd519e	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D16H22S680E	0	3	0	2	0	3	1	2	3	2	2	0	0	0
D17Ertd648e	0	0	0	0	0	0	0	0	0	0	2	1	1	0
D17H6S53E	14	18	17	18	11	9	11	15	9	11	12	1	14	9
D17H6S56E-3	50	38	46	42	14	35	35	3	8	10	7	5	15	13
D17Wsu104e	21	8	12	17	15	9	16	31	29	28	43	26	29	20
D17Wsu92e	26	15	30	28	27	23	16	12	20	16	43	13	25	18
D18Ertd653e	66	56	77	49	52	58	74	22	23	31	22	25	25	20
D19Bwg1357e	3	1	3	2	3	2	3	1	2	0	4	2	2	5
D19Ertd386e	1	1	0	5	0	0	0	0	2	1	0	0	1	0
D19Ertd737e	0	1	0	1	2	0	1	0	4	1	2	2	5	2
D19Wsu162e	0	1	2	7	1	2	0	0	4	2	2	1	1	1
D1Bwg0212e	9	5	9	9	4	5	4	5	6	3	7	3	5	2
D1Ertd448e	6	3	1	3	5	1	2	1	1	2	2	4	0	0
D1Ertd622e	2	0	1	3	3	1	1	0	5	2	2	3	6	2
D1Pas1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
D230004N17Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	1
D230025D16Rik	26	21	31	28	11	17	10	32	38	33	34	20	33	30
D230030E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D230037D09Rik	3	7	7	2	2	6	4	6	1	6	8	5	5	9
D2Ertd750e	10	18	8	4	21	8	13	7	4	3	6	6	14	1
D2Wsu81e	340	331	361	360	277	324	325	156	262	242	226	214	247	165
D2hgdh	0	1	3	0	0	0	2	0	0	0	0	0	1	0
D330012F22Rik	0	0	1	0	0	0	0	1	0	0	0	0	1	1
D330022K07Rik	64	60	60	60	60	55	79	236	369	308	364	217	355	256
D330023K18Rik	0	1	0	0	0	0	2	0	0	0	0	0	1	0
D330028D13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D330041H03Rik	557	748	611	572	503	660	601	537	691	788	696	619	644	561
D330045A20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D330050G23Rik	0	0	0	0	0	0	0	4	4	3	4	2	5	4
D330050I16Rik	329	270	328	303	280	296	341	181	217	249	265	210	259	206
D3Bwg0562e	10	6	2	5	5	6	5	12	30	18	44	19	31	33
D3Ertd254e	5	5	7	6	6	3	3	0	3	3	2	1	2	0
D3Ertd751e	1	0	0	2	0	0	2	0	1	1	2	1	1	0
D430019H16Rik	0	1	1	0	0	0	0	10	14	11	28	13	16	16
D430020J02Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	1
D430036J16Rik	105	103	73	91	127	96	120	493	446	420	719	327	838	700
D430041D05Rik	35	14	17	29	24	28	28	13	20	9	38	17	20	14
D430042O09Rik	7	9	1	6	4	4	4	15	14	16	14	9	15	18
D4Bwg0951e	0	0	0	0	0	0	1	0	0	0	1	0	0	0
D4Ertd22e	7	2	1	5	7	9	6	1	4	3	5	2	3	1
D4Ertd617e	0	0	0	0	0	0	0	0	0	0	1	0	0	0
D4Wsu53e	8	11	17	15	7	9	9	8	14	15	10	15	13	13
D530049I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D530049N12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D5Ertd577e	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D5Ertd579e	13	13	14	12	12	11	12	9	8	7	14	5	12	9
D5Ertd605e	0	0	2	2	0	0	0	0	0	0	0	0	0	0
D5Ertd683e	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D630003M21Rik	0	0	1	0	0	1	0	0	2	0	0	0	2	0
D630004N19Rik	0	0	0	0	4	0	0	0	1	0	0	0	0	0
D630008O14Rik	138	146	127	125	142	125	160	180	200	175	309	150	294	195
D630010B17Rik	7	3	16	8	8	14	15	3	0	1	2	2	1	4
D630013N20Rik	0	0	0	0	0	1	0	1	1	1	2	0	1	0
D630023F18Rik	1	0	0	0	0	0	0	1	0	1	0	1	1	0
D630029K05Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0
D630032N06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D630033O11Rik	0	0	0	0	0	0	0	1	3	3	6	2	5	2
D630037F22Rik	2	1	0	3	1	2	1	1	0	1	1	0	2	0
D630039A03Rik	2	2	6	0	3	8	8	4	11	7	6	3	2	6
D630041G03Rik	2	1	3	0	0	1	2	0	0	3	0	2	2	0
D630042F21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D630042P16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D630044L22Rik	2248	2491	2308	2387	1901	2069	2368	745	949	1023	989	758	1077	793
D630045J12Rik	3	1	3	4	0	3	2	1	0	3	4	0	1	2
D630045M09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D6Ertd474e	0	2	1	0	0	0	0	0	0	1	1	0	1	0
D6Ertd527e	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D6Mm5e	0	0	0	0	0	1	0	0	0	1	1	0	0	0
D6Wsu116e	44	44	41	53	39	59	35	6	13	13	20	14	10	10
D6Wsu163e	1	0	0	0	0	0	0	0	0	1	0	0	0	0
D730001G18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D730002M21Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0
D730003I15Rik	0	0	1	0	0	0	1	0	0	0	0	0	0	0
D730005E14Rik	7	8	12	13	3	9	12	3	7	7	6	4	10	3
D730039F16Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0
D730040F13Rik	2	1	2	3	4	2	1	1	1	2	1	0	1	1
D730045A05Rik	0	1	3	1	1	2	1	1	0	1	0	0	1	0
D730048I06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D730048J04Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0
D730050B12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D7Ertd143e	0	0	0	0	0	0	0	1	0	0	0	0	0	0
D7Ertd443e	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D7Ertd715e	2	1	5	0	2	1	1	1	0	1	1	0	0	0
D830005E20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1
D830013O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D830014E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D830015G02Rik	21	16	23	14	34	42	14	418	481	531	633	429	594	406
D830029L11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D830030K20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D830031N03Rik	2	0	6	1	1	1	1	0	0	1	2	1	1	0
D830044D21Rik	4	3	2	3	2	0	1	4	13	7	6	2	2	2
D830044I16Rik	88	98	99	79	98	113	188	45	42	61	49	36	68	121
D830046C22Rik	0	0	2	0	0	0	0	0	0	0	0	0	0	0
D8Ertd738e	8	5	1	10	6	4	12	3	5	3	12	8	7	5
D8Ertd82e	7	1	5	7	1	3	7	0	3	0	3	2	2	5
D930007P13Rik	0	1	0	0	0	1	0	0	0	0	0	0	0	0
D930014E17Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0
D930015E06Rik	1	0	0	0	1	0	1	1	2	1	1	0	1	1
D930015M05Rik	451	606	577	480	409	436	603	390	520	509	563	300	520	437
D930016D06Rik	2	2	0	2	0	2	0	0	2	2	2	3	0	0
D930020B18Rik	1	1	1	1	0	0	1	0	0	1	1	0	1	0
D930028M14Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0
D930032P07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D930048G16Rik	7	8	10	9	2	9	11	11	10	4	10	9	19	5
D930048N14Rik	3	2	1	3	0	1	1	2	10	6	8	5	4	4
D9Ertd402e	0	1	0	0	2	0	2	0	0	0	1	1	1	0
DXBay18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daam1	15	7	7	6	5	10	6	4	8	5	13	13	9	6
Daam2	64	72	104	65	83	81	114	14	25	24	30	23	33	29
Dab1	1	3	5	1	4	4	5	1	2	4	2	1	3	4
Dab2	0	0	0	0	0	1	1	0	0	0	1	4	0	0
Dab2ip	17	14	15	32	21	24	30	6	6	13	14	12	13	11
Dach1	41	39	50	65	14	15	16	63	80	58	145	12	32	21
Dach2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dact1	11	7	9	5	4	4	4	1	1	0	1	1	1	0
Dact2	0	0	1	0	0	1	0	2	2	2	7	5	4	5
Dact3	16	19	13	18	8	10	20	17	38	38	28	36	36	24
Dad1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Daf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dag1	6	2	8	5	3	2	3	1	6	5	4	3	2	3
Dagla	6	4	2	4	6	6	9	3	5	5	6	5	3	4
Daglb	4	3	4	1	2	2	0	2	2	1	0	3	1	2
Dak	7	8	8	10	6	9	8	15	19	17	10	10	14	17
Dalrd3	552	758	758	580	381	519	519	888	1429	1782	937	888	1160	1129
Dand5	8	14	3	11	8	15	10	3	4	8	6	11	4	2
Dao	1	4	7	6	3	6	8	4	4	3	3	5	0	6
Dap	0	5	1	2	2	2	1	3	4	2	1	6	7	2
Dap3	3	4	0	0	1	2	3	2	3	2	8	4	4	3
Dapk1	0	0	1	2	1	1	1	9	9	2	11	6	8	9
Dapk2	1	1	2	0	3	2	2	0	1	0	0	4	1	1
Dapk3	25	23	29	24	30	38	28	12	25	23	22	18	22	22
Dapl1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Dapp1	10	2	5	3	3	2	5	1	1	1	2	0	3	3
Darc	0	0	2	3	1	2	1	1	0	0	0	0	1	2
Dars	1	2	2	6	3	3	0	2	3	2	3	0	0	0
Dars2	3	2	1	0	1	0	2	3	0	1	0	1	1	0
Daxx	4	1	2	3	6	1	3	2	4	3	4	4	5	6
Dazap1	13	12	11	15	7	14	11	7	9	14	13	10	4	4
Dazap2	13	19	9	9	4	10	6	6	7	2	11	7	10	7
Dazl	0	0	0	0	0	0	0	1	2	0	0	0	0	0
Dbc1	13	8	7	12	15	15	12	6	10	9	19	6	5	15
Dbf4	0	0	1	0	0	2	0	1	0	0	0	0	0	0
Dbh	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Dbi	7	9	7	10	6	6	4	2	1	5	6	3	4	3
Dbil5	5	7	5	9	3	3	8	3	10	6	4	6	6	4
Dbn1	9	3	5	4	4	5	8	38	30	37	61	27	38	39
Dbndd1	438	539	497	488	386	348	459	164	214	212	257	162	234	172
Dbndd2	61	54	81	79	51	73	81	23	40	28	44	24	40	19
Dbnl	2	0	3	5	7	8	5	1	3	4	6	6	10	3
Dbp	26	46	40	32	27	26	28	13	25	24	21	24	23	23
Dbpht2	0	0	0	0	0	1	0	5	7	6	8	2	3	4
Dbr1	1	0	0	0	1	0	0	0	0	1	0	0	0	0
Dbt	1	1	5	6	2	1	2	0	0	4	2	0	2	1
Dbx1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dbx2	30	31	24	26	26	20	39	15	27	19	30	17	27	16
Dcaf10	41	44	37	46	38	38	43	18	28	31	25	18	54	21
Dcaf11	13	11	11	10	2	5	4	5	6	6	15	6	8	4
Dcaf12	12	6	14	8	5	2	13	6	21	5	10	7	5	4
Dcaf12l1	0	3	6	2	1	10	1	11	15	12	10	11	12	10
Dcaf12l2	1	0	0	0	2	1	0	2	2	2	2	0	0	1
Dcaf13	0	0	1	1	1	1	1	1	1	2	0	0	3	0
Dcaf15	214	302	356	218	237	311	416	23	53	85	41	55	72	67
Dcaf17	21	25	24	10	12	18	24	16	24	18	22	16	16	11
